Name,AccountNumber,FirstName,LastName,Email address,LoyaltyMember,LoyaltyPoints
Rosena Macaroni,69696969,Rosena,Muscarella,Rosena.Muscarella@itza.com,,
Ebony Rew,339100948,Ebony,Rew,Ebony.Rew@itza.com,,
Daren Blas,946862807,Daren,Blas,Daren.Blas@itza.com,,
Nona Lail,788882221,Nona,Lail,Nona.Lail@itza.com,,
Babette Shirah,693769160,Babette,Shirah,Babette.Shirah@itza.com,Y,7
Nina Cumpston,599041536,Nina,Cumpston,Nina.Cumpston@itza.com,Y,0
Lucina Kyzer,829809321,Lucina,Kyzer,Lucina.Kyzer@itza.com,,
Gilberto Bogart,453730944,Gilberto,Bogart,Gilberto.Bogart@itza.com,,
Deanne Valls,616548346,Deanne,Valls,Deanne.Valls@itza.com,,
Elliot Breck,359808809,Elliot,Breck,Elliot.Breck@itza.com,,
Hyo Monte,649794841,Hyo,Monte,Hyo.Monte@itza.com,Y,1
Louie Faye,660598047,Louie,Faye,Louie.Faye@itza.com,Y,5
Rosemarie Arthur,134328488,Rosemarie,Arthur,Rosemarie.Arthur@itza.com,,
Ilda Vaught,517503293,Ilda,Vaught,Ilda.Vaught@itza.com,,
Darnell Lanphere,198692643,Darnell,Lanphere,Darnell.Lanphere@itza.com,,
Latricia Maroon,405378928,Latricia,Maroon,Latricia.Maroon@itza.com,Y,1
Fe Scalzo,967834872,Fe,Scalzo,Fe.Scalzo@itza.com,,
Milagros Kearse,329414235,Milagros,Kearse,Milagros.Kearse@itza.com,,
Danette Colella,434961768,Danette,Colella,Danette.Colella@itza.com,,
Marquerite Gorden,507637149,Marquerite,Gorden,Marquerite.Gorden@itza.com,,
Lang Gateley,504769305,Lang,Gateley,Lang.Gateley@itza.com,,
Dawna Maley,181817411,Dawna,Maley,Dawna.Maley@itza.com,,
Sheena Duhart,547438279,Sheena,Duhart,Sheena.Duhart@itza.com,Y,9
Zena Simonsen,619595852,Zena,Simonsen,Zena.Simonsen@itza.com,Y,2
Cierra Wainscott,498936855,Cierra,Wainscott,Cierra.Wainscott@itza.com,,
Cassandra Didonato,963360855,Cassandra,Didonato,Cassandra.Didonato@itza.com,,
Adriane Ollis,997613612,Adriane,Ollis,Adriane.Ollis@itza.com,,
Napoleon Moloney,497934999,Napoleon,Moloney,Napoleon.Moloney@itza.com,,
Larhonda Brandl,186964815,Larhonda,Brandl,Larhonda.Brandl@itza.com,,
Earnestine Alva,516821776,Earnestine,Alva,Earnestine.Alva@itza.com,,
Olimpia Broe,891465552,Olimpia,Broe,Olimpia.Broe@itza.com,,
Hertha Allington,765813257,Hertha,Allington,Hertha.Allington@itza.com,,
Kizzy Grantham,818198140,Kizzy,Grantham,Kizzy.Grantham@itza.com,,
Melina Frum,239797720,Melina,Frum,Melina.Frum@itza.com,,
Omar Kreiger,266137167,Omar,Kreiger,Omar.Kreiger@itza.com,,
Irvin Florio,487652189,Irvin,Florio,Irvin.Florio@itza.com,Y,9
Kanisha Ruddick,641502279,Kanisha,Ruddick,Kanisha.Ruddick@itza.com,,
Nydia Borman,530393780,Nydia,Borman,Nydia.Borman@itza.com,,
Ronna Bennett,494016415,Ronna,Bennett,Ronna.Bennett@itza.com,,
Evelina Gish,725987588,Evelina,Gish,Evelina.Gish@itza.com,,
Carie Aitken,977733031,Carie,Aitken,Carie.Aitken@itza.com,Y,5
Brenna Vermillion,320671458,Brenna,Vermillion,Brenna.Vermillion@itza.com,,
Wilber Keil,489679040,Wilber,Keil,Wilber.Keil@itza.com,Y,6
Antony Wingham,677480427,Antony,Wingham,Antony.Wingham@itza.com,,
Gracia Birdsong,991734140,Gracia,Birdsong,Gracia.Birdsong@itza.com,Y,7
Terrilyn Bartle,987347110,Terrilyn,Bartle,Terrilyn.Bartle@itza.com,,
Joe Schon,888321585,Joe,Schon,Joe.Schon@itza.com,,
Herman Cardella,206656019,Herman,Cardella,Herman.Cardella@itza.com,,
Barbara Reidy,699654401,Barbara,Reidy,Barbara.Reidy@itza.com,Y,8
Rossie Parkes,268235444,Rossie,Parkes,Rossie.Parkes@itza.com,,
Karyl Ulibarri,230132310,Karyl,Ulibarri,Karyl.Ulibarri@itza.com,,
Susannah Atlas,796347464,Susannah,Atlas,Susannah.Atlas@itza.com,,
Leon Cesar,327268730,Leon,Cesar,Leon.Cesar@itza.com,,
Marybeth Riordan,750263779,Marybeth,Riordan,Marybeth.Riordan@itza.com,,
Etsuko Lisenby,422499438,Etsuko,Lisenby,Etsuko.Lisenby@itza.com,,
Bryce Farner,848283290,Bryce,Farner,Bryce.Farner@itza.com,,
Brigitte Hunnicutt,774295821,Brigitte,Hunnicutt,Brigitte.Hunnicutt@itza.com,,
Bret Earley,438277402,Bret,Earley,Bret.Earley@itza.com,Y,3
